tags	string	versions	US10_off_or_first	known	camel_ids
camelfmt	'texRestructRefs   SubOptimal Restructure from 0x%x to 0x%x size %d!!!!'	US10,US11,EU10,EU11,JP10	0x0030b330	exact-in-src	texRestructRefs
camelfmt	'texRestructRefs  No Space to ReRegion from 0x%x size %d!!!!'	US10,US11,EU10,EU11,JP10	0x0030b20c	exact-in-src	texRestructRefs
camelfmt	'texRestructRefs  No Space to Restructure from 0x%x size %d!!!!'	US10,US11,EU10,EU11,JP10	0x0030b2b4	exact-in-src	texRestructRefs
camelfmt	"texRestructRefs ReRegioned alloc can't get back into region 0 from 0x%x to 0x%x size %d!!!!"	US10,US11,EU10,EU11,JP10	0x0030b3c0	exact-in-src	texRestructRefs
camelfmt	'texRestructRefs Wrong region from 0x%x to 0x%x size %d!!!!'	US10,US11,EU10,EU11,JP10	0x0030b2f4	exact-in-src	texRestructRefs
camelfmt	'thisStore 0x%8x thisStore->handle %d thisStore->size %d thisStore->ptrStore 0x%8x thisStore->ptrCurrent 0x%8x  end of this store array 0x%8x'	US10,US11,EU10,EU11,JP10	0x002c7648	NEW-ids(thisStore); known:handle,ptrCurrent,ptrStore	thisStore,thisStore,thisStore,thisStore,ptrStore,thisStore,ptrCurrent
camelfmt	'track piLocked %x'	US10,US11,EU10,EU11,JP10	0x0030b790	exact-in-src	piLocked
camelfmt+overflow	'trackIntersect: FUNC OVERFLOW %d'	US10,US11,EU10,EU11,JP10	0x0030b87c	exact-in-src	trackIntersect
camelfmt	'tricky error, target patch %d, targetWalkGroup %d, trickyWalkGroup %d, tricky last walkGroup %d, tricky in patch %d'	US10,US11,EU10,EU11,JP10	0x0031a65c	NEW-ids(trickyWalkGroup); known:target,targetWalkGroup,tricky	targetWalkGroup,trickyWalkGroup,walkGroup
file.c	'<DIMBoss.c> freeing assets for DIMBoss'	US11	US11:0x00323784	exact-in-src	
file.c	'<DIMBoss.c> loading assets for DIMTop'	US10,US11,EU10,EU11,JP10	0x00322b6c	exact-in-src	
file.c	'<laser.c Init>No Longer supported '	US10,US11,EU10,EU11,JP10	0x00326c20	exact-in-src	
file.c	'<textblock.c Init>No Longer supported '	US10,US11,EU10,EU11,JP10	0x00326bf8	exact-in-src	
file.c	'@<DIMBoss.c> freeing assets for DIMBoss'	US10	0x00322b43	ids-known(DIMBoss,assets,freeing)	
file.c	'@expgfx.c: mismatch in add/remove in exptab'	US10	0x0030cbef	ids-known(expgfx,exptab,mismatch,remove)	
file.c	'curves.c: MAX_ROMCURVES exceeded!!'	US11,EU10,EU11	US11:0x0030f30c	exact-in-src	
file.c	'D<DIMBoss.c> freeing assets for DIMBoss'	EU11	EU11:0x003244c3	ids-known(DIMBoss,assets,freeing)	
file.c	'dvdfs.c'	US10,US11,EU10,EU11,JP10	0x00333bc0	exact-in-src	
file.c	'expgfx.c: exptab is FULL'	US10,US11,EU10,EU11,JP10	0x0030cc50	exact-in-src	
file.c	'expgfx.c: invalid tabindex'	US10,US11,EU10,EU11,JP10	0x0030cc6c	exact-in-src	
file.c	'expgfx.c: mismatch in add/remove in exptab'	US11,EU10,EU11	US11:0x0030d7b0	exact-in-src	
file.c+overflow	'expgfx.c: scale overflow'	US10,US11,EU10,EU11,JP10	0x0030cc88	exact-in-src	
file.c	'H<textblock.c Init>No Longer supported '	US11	US11:0x0032792f	ids-known(Longer,supported,textblock)	
file.c	'Hcurves.c: MAX_ROMCURVES exceeded!!'	US10	0x0030e6bb	ids-known(Hcurves,MAX_ROMCURVES,exceeded)	
file.c	'hcurves.c: MAX_ROMCURVES exceeded!!'	JP10	JP10:0x0030e7db	NEW-ids(hcurves); known:MAX_ROMCURVES,exceeded	
file.c	'n_attractmode.c'	US10,US11,EU10,EU11,JP10	0x0031738c	exact-in-src	
file.c	'SHthorntail.c'	US10,US11,EU10,EU11,JP10	0x00324488	exact-in-src	
file.c	'X<textblock.c Init>No Longer supported '	EU11	EU11:0x00328577	ids-known(Longer,supported,textblock)	
overflow	'\t- DMA queue overflowed'	US10,US11,EU10,EU11,JP10	0x00329730	ids-known(overflowed)	
overflow	'DOWNLINK overflow=%d'	US10,US11,EU10,EU11,JP10	0x00319260	NEW-ids(DOWNLINK); known:overflow	
overflow	'HIT OVERFLOW'	US10,US11,EU10,EU11,JP10	0x0030b8a0	exact-in-src	
