kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
424   all      1664    7    | 424   1664    7      objects/424_DFbarrelanim| 8.0    | 
425   all      608     7    | 425   608     7      objects/425_DFbarrelcrea| 8.0    | 
426   all      448     7    | 426   448     7      objects/426_DFcavedoor  | IDENT  | 
427   all      1408    7    | 427   1408    7      objects/427_DFlevelcontr| 8.0    | 
428   all      7136    7    | 428   7136    7      objects/428_DFmole      | 8.0    | 
429   all      1728    7    | 429   1728    7      objects/429_DFSH_door1Sp| 8.0    | 
430   all      896     7    | 430   896     7      objects/430_DFSH_door2Sp| IDENT  | 
431   all      1024    7    | 431   1024    7      objects/431_DFwhirlpool | 8.0    | 
432   all      2592    7    | 432   2592    7                              | 8.0    | 
433   all      5360    7    | 433   5360    7      objects/433_DFSH_Shrine | 8.0    | 
434   all      1264    7    | 434   1264    7      objects/434_DFSH_ObjCrea| 8.0    | 
435   all      2544    7    | 435   2544    7      objects/435_KrazoaSpirit| 8.0    | 
436   all      3744    7    | 436   3744    7                              | 8.0    | 
437   all      17440   9    | 437   17440   9      objects/437_EWTrobotpatr| 18.0   | 
438   all      208     7    | 438   208     7      objects/438_RobotBeam   | IDENT  | 
439   all      4176    7    | 439   3840    7                              | 14.5   | 
440   all      3088    7    | 440   3088    7                              | 8.0    | 
441   all      1232    7    | 441   1232    7      objects/441_MMP_levelcon| 8.0    | 
442   all      1248    7    | 442   1248    7                              | 8.0    | 
443   all      3392    7    | 443   3392    7                              | 8.0    | 
444   all      1248    7    | 444   1248    7                              | 8.0    | 
445   all      3200    7    | 445   3200    7                              | 8.0    | 
446   all      720     7    | 446   720     7                              | 8.0    | 
447   all      1984    7    | 447   1984    7      objects/447_CCguardgivin| 8.0    | 
448   all      3360    7    | 448   3360    7      objects/448_CCcage      | 8.0    | 
449   all      1040    7    | 449   1040    7      objects/449_CClightfoot | 8.0    | 
450   all      768     7    | 450   768     7      objects/450_CCspellpage | 8.0    | 
451   all      1120    7    | 451   1120    7                              | 8.0    | 
452   all      1904    7    | 452   1904    7      objects/452_CCfirecrysta| 8.0    | 
453   all      672     7    | 453   672     7      objects/453_CCfirecrysta| IDENT  | 
454   all      4928    7    | 454   4928    7      objects/454_CCgrub      | 18.0   | 
455   all      2048    7    | 455   2048    7      objects/455_CChightop   | 8.0    | 
456   all      608     7    | 456   608     7      objects/456_CCfloor     | 8.0    | 
457   all      5984    7    | 457   5984    7      objects/457_CCkrazoabrig| 18.0   | 
458   all      816     7    | 458   816     7      objects/458_CCkrazoaBits| 8.0    | 
459   all      1648    7    | 459   1648    7      objects/459_CCkrazoaTabl| 8.0    | 
460   all      832     7    | 460   832     7      objects/460_CClevcontrol| IDENT  | 
461   all      8016    7    | 461   8016    7      objects/461_CCsandwormBo| 18.0   | 
462   all      1056    7    | 462   1056    7                              | 8.0    | 
463   all      832     7    | 463   832     7      objects/463_CCgasvent   | 8.0    | 
464   all      1184    7    | 464   1184    7      objects/464_CCgasventCon| 8.0    | 
465   all      416     7    | 465   416     7      objects/465_CCdockDoor  | 8.0    | 
466   all      4992    7    | 466   4992    7      objects/466_mmshrine    | 8.0    | 
467   all      1472    7    | 467   1472    7                              | 8.0    | 
468   all      3056    7    | 468   3056    7                              | 8.0    | 
469   all      7184    12   | 469   7184    12     objects/469_ECSHshrine  | 8.0    | 
470   all      2688    7    | 470   2688    7      objects/470_ECSH_Cup    | 8.0    | 
471   all      1024    7    | 471   1024    7                              | 8.0    | 
472   all      5776    7    | 472   5776    7      objects/472_GPSH_Shrine | 8.0    | 
473   all      1488    7    | 473   1488    7      objects/473_GPSH_ObjCrea| 8.0    | 
474   all      944     7    | 474   944     7                              | 18.0   | 
475   all      2880    7    | 475   2880    7      objects/475_GPSH_flybadd| 8.0    | 
476   all      1040    7    | 476   1040    7                              | 8.0    | 
477   all      4912    7    | 477   4912    7      objects/477_DBSH_Shrine | 8.0    | 
478   all      3872    7    | 478   3872    7      objects/478_DBSH_Symbol | 8.0    | 
479   all      1072    7    | 479   1072    7                              | 8.0    | 
480   all      3248    7    | 480   3248    7                              | 8.0    | 
481   all      4848    7    | 481   4848    7      objects/481_NWSH_Shrine | 8.0    | 
482   all      1392    7    | 482   1392    7                              | 8.0    | 
483   all      1328    7    | 483   1328    7                              | 8.0    | 
484   all      688     7    | 484   688     7                              | 8.0    | 
485   all      1888    7    | 485   1888    7                              | 8.0    | 
486   all      5072    7    | 486   5072    7      objects/486_CCSH_Shrine | 8.0    | 
487   all      1056    7    | 487   1056    7                              | 8.0    | 
488   all      4640    7    | 488   4640    7      objects/488_WGSH_Shrine | 8.0    | 
489   all      944     7    | 489   944     7      objects/489_WGSH_ObjCrea| 8.0    | 
490   all      3008    7    | 490   3008    7      objects/490_WGSH_flybadd| 8.0    | 
491   all      2016    7    | 491   2016    7                              | 8.0    | 
492   all      3328    7    | 492   3328    7                              | 8.0    | 
493   all      784     7    | 493   784     7      objects/493_NWsfx       | 8.0    | 
494   all      1696    7    | 494   1696    7      objects/494_NWtreebridge| 8.0    | 
495   all      816     7    | 495   816     7                              | 8.0    | 
496   all      10176   7    | 496   10320   7      objects/496_snowhorn    | 15.9   | 
497   all      2512    7    | 497   2512    7      objects/497_NWtricky    | 8.0    | 
498   all      416     7    | 498   416     7      objects/498_NWanimice   | 8.0    | 
499   all      832     7    | 499   832     7      objects/499_NWice       | 8.0    | 
500   all      1152    7    | 500   1152    7                              | 8.0    | 
501   all      624     7    | 501   624     7      objects/501_SHtricky    | 8.0    | 
502   all      6528    7    | 502   6528    7      objects/502_SHmushroom  | 18.0   | 
503   all      4304    7    | 503   4304    7      objects/503_SHkillermush| 8.0    | 
504   all      4880    7    | 504   4880    7      objects/504_SHrocketmush| 8.0    | 
505   all      3328    7    | 505   3328    7      objects/505_SHspore     | 8.0    | 
506   all      592     7    | 506   592     7      objects/506_SHPlantSpore| 8.0    | 
507   all      1920    7    | 507   1920    7      objects/507_SHqueenearth| 8.0    | 
508   all      9104    7    | 508   9104    7      objects/508_SHthorntail | 8.0    | 
509   all      1040    7    | 509   1040    7      objects/509_SHwaterLily | 8.0    | 
510   all      1856    7    | 510   1856    7      objects/510_SHroot      | 8.0    | 
511   all      464     7    | 511   464     7      objects/511_SHboulder   | 8.0    | 
512   all      896     7    | 512   896     7      objects/512_SHLevelContr| IDENT  | 
513   all      576     7    | 513   576     7      objects/513_SHflowers   | 8.0    | 
514   all      672     7    | 514   672     7      objects/514_SHswaplift  | 8.0    | 
515   all      3920    7    | 515   3872    7      objects/515_SHswapstone | 7.9    | 
516   all      8064    7    | 516   8064    7                              | 8.0    | 
517   all      2624    7    | 517   2624    7      objects/517_SCbabyLightF| 8.0    | 
518   all      5168    7    | 518   5168    7                              | 8.0    | 
519   all      5632    9    | 519   5632    9      objects/519_SC_levelcont| 8.0    | 
520   all      4592    7    | 520   4592    7                              | 8.0    | 
521   all      1552    7    | 521   1552    7      objects/521_SC_totempole| 8.0    | 
522   all      2736    7    | 522   2736    7                              | 8.0    | 
523   all      3120    9    | 523   3120    9      objects/523_SCcollectabl| 8.0    | 
524   all      2592    7    | 524   2592    7      objects/524_SCanimobj   | 8.0    | 
525   all      2336    7    | 525   2336    7      objects/525_SCtotempuzzl| 8.0    | 
526   all      976     7    | 526   976     7      objects/526_SC_meterbloc| 8.0    | 
527   all      3392    7    | 527   3392    7      objects/527_SC_totembond| 8.0    | 
528   all      4384    7    | 528   4384    7      objects/528_SC_totemstre| 8.0    | 
529   all      1312    7    | -                    KIOSK-ONLY (inserted)   |        | 
530   all      3072    9    | 529   3072    9                              | 8.0    | 
531   all      1744    9    | 530   1744    9      objects/530_DIMLavaBallG| 8.0    | 
532   all      2496    8    | 531   2496    8                              | 8.0    | 
533   all      7904    7    | 532   7904    7                              | 8.0    | 
534   all      720     7    | 533   720     7                              | IDENT  | 
535   all      800     7    | 534   800     7      objects/534_DIMGate     | 8.0    | 
536   all      816     8    | 535   816     8      objects/535_DIMicewall  | 8.0    | 
537   all      1968    7    | 536   1968    7      objects/536_DIMBoulder  | 8.0    | 
538   all      6368    7    | 537   6368    7      objects/537_DIMCannon   | 8.0    | 
539   all      1296    7    | 538   1296    7                              | 8.0    | 
540   all      1152    7    | 539   1152    7                              | 8.0    | 
541   all      896     9    | 540   896     9                              | 8.0    | 
542   all      1056    7    | 541   1056    7      objects/541_DIMExplosion| 8.0    | 
543   all      896     7    | 542   896     7                              | 8.0    | 
544   all      2896    7    | 543   2896    7                              | 8.0    | 
545   all      880     7    | 544   880     7      objects/544_DIM_LevelCon| 8.0    | 
546   all      3072    7    | 545   3072    7      objects/545_DIMTent     | 8.0    | 
547   all      448     7    | 546   448     7      objects/546_DIMBikeDoor | IDENT  | 
548   all      1920    7    | 547   1776    7      objects/547_GP_LevelCont| 7.4    | 
549   all      6560    7    | 548   6560    7                              | 18.0   | 
550   all      1760    7    | 549   1616    7      objects/549_GP_ShrinePil| 7.3    | 
551   all      1024    7    | -                    KIOSK-ONLY (inserted)   |        | 
552   all      1344    7    | 550   1344    7      objects/550_WGbouncyVine| 8.0    | 
553   all      1504    7    | 551   1504    7                              | 18.0   | 
554   all      1536    7    | 552   1536    7      objects/552_WGboulder   | 8.0    | 
555   all      400     7    | 553   400     7      objects/553_WGmutant    | IDENT  | 
556   all      864     8    | 554   864     8                              | 8.0    | 
557   all      3216    7    | 555   3216    7                              | 8.0    | 
558   all      2512    7    | 556   2512    7                              | 8.0    | 
559   all      1504    8    | 557   1504    8                              | 8.0    | 
560   all      2304    7    | 558   2304    7                              | 8.0    | 
561   all      1776    7    | 559   1776    7                              | 8.0    | 
562   all      1792    7    | 560   1792    7                              | 8.0    | 
563   all      1408    7    | 561   1408    7                              | 8.0    | 
564   all      1648    7    | 562   1648    7      objects/562_DIM2Icicle  | 8.0    | 
565   all      1120    8    | 563   1120    8                              | 8.0    | 
566   all      2624    7    | 564   2624    7                              | 8.0    | 
567   all      18720   9    | 565   18720   9                              | 18.0   | 
568   all      576     7    | 566   576     7      objects/566_DIM_BossGut | 8.0    | 
569   all      5824    9    | 567   5824    9                              | 8.0    | 
570   all      3424    9    | 568   3424    9                              | 8.0    | 
571   all      960     7    | 569   960     7      objects/569_MAGICMaker  | 8.0    | 
572   all      2480    7    | 570   2480    7      objects/570_DIM_BossSpit| 8.0    | 
573   all      816     7    | 571   816     7      objects/571_DIMbosscrack| 8.0    | 
574   all      11584   12   | 572   11584   12     objects/572_SB_Galleon  | 8.0    | 
575   all      5920    12   | 573   5920    12                             | 8.0    | 
576   all      2032    7    | 574   2032    7      objects/574_SB_Propeller| 8.0    | 
577   all      2960    7    | 575   2960    7      objects/575_SB_ShipHead | 18.0   | 
578   all      688     7    | 576   688     7      objects/576_SB_ShipMast | IDENT  | 
579   all      3520    7    | 577   3520    7      objects/577_SB_ShipGun  | 8.0    | 
580   all      1536    7    | 578   1536    7      objects/578_SB_FireBall | 8.0    | 
581   all      2608    7    | 579   2608    7                              | 8.0    | 
582   all      1984    7    | 580   1984    7                              | 8.0    | 
583   all      2496    7    | 581   2496    7      objects/581_SB_KyteCage | 8.0    | 
584   all      400     7    | 582   400     7      objects/582_SB_SeqDoor  | IDENT  | 
585   all      1136    7    | 583   1136    7      objects/583_SB_CageKyte | 8.0    | 
586   all      1520    7    | 584   1520    7      objects/584_SB_Debris   | 8.0    | 
587   all      1504    7    | 585   1504    7      objects/585_SB_MiniFire | 8.0    | 
588   all      1984    7    | 586   1984    7      objects/586_SB_Lamp     | 8.0    | 
589   all      3728    7    | 587   3728    7                              | 8.0    | 
590   all      512     7    | 588   512     7      objects/588_SB_ShipFlag | IDENT  | 
591   all      592     7    | 589   592     7      objects/589_SB_ShipGunBr| 8.0    | 
592   all      2688    7    | 590   2688    7      objects/590_WL_Galleon  | 8.0    | 
593   all      3760    7    | 591   3760    7                              | 8.0    | 
594   all      1072    7    | 592   1072    7                              | 8.0    | 
595   all      3264    7    | 593   3264    7      objects/593_WL_DeadDino | 8.0    | 
596   all      4432    7    | 594   4432    7                              | 8.0    | 
597   all      752     7    | 595   752     7      objects/595_WL_LaserTarg| 8.0    | 
598   all      1856    7    | 596   1856    7      objects/596_WLpressuresw| 8.0    | 
599   all      1344    7    | 597   1344    7                              | 8.0    | 
600   all      5952    7    | 598   5952    7      objects/598_WM_Wizard   | 8.0    | 
601   all      1360    7    | 599   1360    7                              | 8.0    | 
602   all      1040    7    | 600   1040    7                              | 8.0    | 
603   all      1376    7    | 601   1376    7                              | 8.0    | 
604   all      1888    7    | 602   1888    7      objects/602_WLTorch     | 8.0    | 
605   all      1024    7    | 603   1024    7      objects/603_WL_Vein     | 8.0    | 
606   all      2896    7    | 604   2896    7                              | 8.0    | 
607   all      1216    7    | 605   1216    7      objects/605_WLworm      | 8.0    | 
608   all      1440    7    | 606   1440    7      objects/606_WL_Wallpower| 8.0    | 
609   all      6944    7    | 607   6944    7      objects/607_WL_LevelCont| 8.0    | 
610   all      2800    7    | 608   2800    7                              | 8.0    | 
611   all      3088    8    | 609   3088    8      objects/609_WLFireFly   | 8.0    | 
612   all      1696    7    | 610   1696    7      objects/610_WL_spiritpla| 8.0    | 
613   all      6304    7    | 611   6304    7      objects/611_WL_seqpoint | 18.0   | 
614   all      8320    7    | 612   8320    7      objects/612_WL_Crystal  | 8.0    | 
615   all      464     7    | 613   464     7      objects/613_WL_SpiritSet| IDENT  | 
616   all      1024    7    | 614   1024    7      objects/614_WM_Planets  | 8.0    | 
617   all      7536    7    | 615   7536    7      objects/615_crawler     | 18.0   | 
618   all      2096    7    | 616   2096    7                              | 8.0    | 
619   all      304     7    | 617   304     7      objects/617_WL_VConsole | IDENT  | 
620   all      1712    7    | 618   1712    7      objects/618_WM_TransTop | 8.0    | 
621   all      3088    7    | 619   3088    7      objects/619_VFP_LevelCon| 8.0    | 
622   all      1952    7    | 620   1952    7                              | 8.0    | 
623   all      1936    7    | 621   1936    7                              | 8.0    | 
624   all      672     7    | 622   672     7                              | 8.0    | 
625   all      2032    7    | 623   2032    7                              | 8.0    | 
626   all      1536    7    | 624   1536    7                              | 8.0    | 
627   all      1312    7    | 625   1312    7                              | 8.0    | 
628   all      6496    7    | 626   6496    7                              | 8.0    | 
629   all      944     7    | 627   944     7                              | 8.0    | 
630   all      3072    7    | 628   3072    7                              | 8.0    | 
631   all      1344    7    | 629   1344    7                              | 8.0    | 
632   all      1440    7    | 630   1440    7                              | 8.0    | 
633   all      3168    7    | 631   3168    7                              | 8.0    | 
634   all      608     7    | 632   608     7                              | 8.0    | 
635   all      1296    7    | 633   1296    7      objects/633_VFP_PodiumPo| 8.0    | 
636   all      832     8    | 634   832     8      objects/634_VFP_flamepoi| 8.0    | 
637   all      1648    7    | 635   1648    7                              | 8.0    | 
638   all      1136    7    | 636   1136    7      objects/636_VFP_lavastar| 8.0    | 
639   all      1088    7    | 637   1088    7      objects/637_VFP_SpellPla| 8.0    | 
640   all      5088    8    | 638   5088    8      objects/638_DFPlevcontro| 8.0    | 
641   all      4128    7    | 639   4128    7                              | 8.0    | 
642   all      3024    7    | 640   3024    7                              | 8.0    | 
643   all      2544    7    | 641   2544    7      objects/641_DFPLift     | 8.0    | 
644   all      1888    7    | 642   1888    7                              | 8.0    | 
645   all      2688    7    | 643   2688    7                              | 8.0    | 
646   all      1952    7    | 644   1952    7      objects/644_DFP_floorbar| 8.0    | 
647   all      1648    7    | 645   1648    7                              | 8.0    | 
648   all      4144    7    | 646   4144    7      objects/646_DFP_ForceAwa| 8.0    | 
649   all      4640    7    | 647   4640    7                              | 8.0    | 
650   all      1184    7    | 648   1184    7                              | 8.0    | 
651   all      736     7    | 649   736     7                              | 8.0    | 
652   all      4560    7    | 650   4560    7                              | 8.0    | 
653   all      3216    7    | 651   3216    7                              | 8.0    | 
654   all      1296    7    | 652   1296    7      objects/652_DFP_SpellPla| 8.0    | 
655   all      1760    7    | 653   1760    7                              | 8.0    | 
656   all      1360    7    | 654   1360    7      objects/654_textblock   | 8.0    | 
657   all      864     7    | 655   864     7                              | 8.0    | 
658   all      12432   7    | 656   12432   7                              | 8.0    | 
659   all      896     7    | 657   896     7                              | 8.0    | 
660   all      10560   7    | 658   10560   7      objects/658_DBPointMum  | 18.0   | 
661   all      2048    7    | 659   2048    7      objects/659_DBTrigger   | 8.0    | 
662   all      1248    7    | 660   1248    7      objects/660_DBSpike     | 8.0    | 
663   all      1328    7    | 661   1328    7      objects/661_DBPlaceHolde| 8.0    | 
664   all      8768    9    | 662   7536    7      objects/662_DBEgg       | 7.5    | 
665   all      1232    7    | 663   1232    7      objects/663_DBlevelContr| 8.0    | 
666   all      1536    7    | 664   1536    7                              | 8.0    | 
667   all      5840    7    | 665   5840    7                              | 8.0    | 
668   all      5168    11   | 666   5168    11                             | 18.0   | 
669   all      2880    7    | 667   2880    7                              | 8.0    | 
670   all      880     7    | 668   880     7      objects/668_DBdiamond   | 8.0    | 
671   all      7856    7    | 669   7856    7                              | 18.0   | 
672   all      528     7    | 670   528     7      objects/670_DBExpbit    | 8.0    | 
673   all      2992    7    | 671   2992    7                              | 18.0   | 
674   all      3920    7    | 672   3920    7                              | 8.0    | 
675   all      1888    7    | 673   1888    7      objects/673_DBbignest   | 18.0   | 
676   all      1264    7    | 674   1264    7      objects/674_DBwaterplant| 8.0    | 
677   all      4352    7    | 675   4352    7                              | 18.0   | 
678   all      1344    7    | 676   1344    7      objects/676_DBplatform  | 8.0    | 
679   all      5360    10   | 677   5360    10                             | 8.0    | 
680   all      1376    7    | 678   1376    7      objects/678_DBbridgeanim| 8.0    | 
681   all      4000    9    | 679   4000    9                              | 8.0    | 
682   all      2928    11   | 680   2928    11                             | 8.0    | 
683   all      1408    7    | 681   1408    7                              | 8.0    | 
684   all      3552    7    | 682   3552    7                              | 8.0    | 
685   all      464     7    | 683   464     7      objects/683_DBSupShield | 8.0    | 
686   all      3600    10   | 684   3600    10     objects/684_DBDustGeezer| 18.0   | 
687   all      1664    9    | 685   1664    9      objects/685_DBbonedust  | 8.0    | 
688   all      3408    12   | 686   3408    12                             | 18.0   | 
689   all      1280    7    | 687   1280    7                              | IDENT  | 
690   all      23152   9    | 688   13744   9      objects/688_DBstealerwor| 7.6    | 
691   all      1664    7    | 689   1664    7                              | 8.0    | 
692   all      2864    7    | 690   2864    7      objects/690_DB_SuperSymb| 38.0   | USEOBJ.c
693   all      736     7    | 691   736     7      objects/691_DB_FakeHoriz| 8.0    | 
694   all      2320    7    | -                    KIOSK-ONLY (inserted)   |        | 
695   all      4448    8    | 692   4448    8                              | 8.0    | 
696   all      2336    9    | 693   2336    9                              | 8.0    | 
697   all      1984    9    | 694   1984    9                              | 8.0    | 
698   all      800     7    | 695   800     7      objects/695_BossDrakorDi| IDENT  | 
699   all      1200    7    | 696   1200    7                              | 8.0    | 
700   all      3696    7    | 697   3696    7      objects/697_BossDrakor  | 8.0    | 
701   all      2848    8    | 698   2848    8      objects/698_BossDrakor_L| 8.0    | 
702   all      3648    7    | 699   3648    7                              | 8.0    | 
703   all      384     7    | 700   384     7      objects/700_BossDrakor_D| 8.0    | 
704   all      1584    7    | 701   1584    7      objects/701_KT_RexLevel | 8.0    | 
705   all      16176   9    | 702   16176   9      objects/702_KTrex       | 18.0   | 
706   all      3072    7    | 703   3072    7      objects/703_KT_RexFloorS| 8.0    | 
707   all      2048    7    | 704   2048    7      objects/704_KT_Lazerwall| 8.0    | 
708   all      1552    7    | 705   1552    7                              | 8.0    | 
709   all      672     7    | 706   672     7                              | 8.0    | 
710   all      8928    7    | 707   8928    7      objects/707_KamerianBoss| 8.0    | 
711   all      5344    7    | 708   5344    7                              | 8.0    | 
712   all      1024    7    | 709   1024    7                              | 8.0    | 
713   all      432     7    | 710   432     7      objects/710_AnimTest    | 8.0    | 
714   all      19136   21   | 711   19136   21     objects/711_IMSnowBike  | 18.0   | 
715   all      14176   21   | 712   14176   21     objects/712_DIMSnowHorn1| 18.0   | 
716   all      14416   21   | 713   14416   21     objects/713_DR_EarthWarr| 18.0   | 
717   all      15552   21   | 714   15552   21     objects/714_DR_CloudRunn| 18.0   | 
718   all      496     7    | 715   496     7      objects/715_StaticCamera| 8.0    | 
719   all      1760    11   | 716   1760    11     objects/716_kyteFireFlys| 8.0    | 
720   all      1760    11   | 717   1760    11                             | 8.0    | 
721   all      1456    11   | 718   1760    11     objects/718_PerchObject | 6.6    | 
722   all      1584    11   | 719   1584    11                             | 8.0    | 
723   all      1328    11   | 720   1328    11     objects/720_FindKyteObje| 8.0    | 
724   all      3440    11   | 721   3440    11     objects/721_SC_beacon   | 8.0    | 
725   all      3984    11   | 722   3984    11     objects/722_MMP_mseedrec| 8.0    | 
726   all      3536    11   | 723   3536    11     objects/723_GPbonfire   | 8.0    | 
727   all      1120    11   | 724   1120    11                             | 8.0    | 
728   all      1216    11   | 725   1216    11     objects/725_SC_flamegame| 8.0    | 
729   all      1808    11   | 726   1808    11                             | 18.0   | 
730   all      4160    7    | 727   4160    7                              | 18.0   | 
731   all      4256    7    | 728   4256    7                              | 18.0   | 
732   all      1520    7    | 729   1520    7      objects/729_CRCloudRace | 8.0    | 
733   all      1104    9    | 730   1104    9      objects/730_CRspellStone| 8.0    | 
734   all      848     7    | 731   848     7      objects/731_CRFuelTank  | 8.0    | 
735   all      20384   21   | 732   20352   21     objects/732_CRSnowBike  | 15.1   | 
736   all      4464    7    | 733   4464    7                              | 18.0   | 
737   all      10688   8    | 734   10688   8      objects/734_DR_PushCart | 18.0   | 
738   all      3040    11   | 735   3040    11     objects/735_DRbullet    | 18.0   | 
739   all      1536    7    | 736   1536    7                              | 8.0    | 
740   all      2432    7    | 737   2432    7      objects/737_DRLavaContro| 18.0   | 
741   all      2272    7    | 738   2272    7                              | 18.0   | 
742   all      4400    7    | 739   4400    7      objects/739_DR_SupGuardC| 18.0   | 
743   all      1776    7    | 740   1776    7      objects/740_DR_tube     | 8.0    | 
744   all      1168    7    | 741   1168    7                              | 8.0    | 
745   all      1328    7    | 742   1328    7      objects/742_DR_ExplodeDo| 8.0    | 
746   all      1568    7    | 743   1568    7                              | 8.0    | 
747   all      1456    8    | 744   1456    8                              | 8.0    | 
748   all      3936    8    | 745   3936    8                              | 18.0   | 
749   all      2000    7    | 746   2000    7                              | 8.0    | 
750   all      2384    9    | 747   2384    9                              | 8.0    | 
751   all      1824    7    | 748   1824    7                              | 8.0    | 
752   all      2848    10   | 749   2848    10                             | 8.0    | 
753   all      9344    8    | 750   9344    8                              | 8.0    | 
754   all      3072    7    | 751   3072    7                              | 8.0    | 
755   all      1568    7    | 752   1568    7                              | 8.0    | 
756   all      2528    7    | 753   2528    7                              | 18.0   | 
757   all      1488    7    | 754   1488    7                              | 8.0    | 
758   all      1376    7    | 755   1376    7                              | 8.0    | 
759   all      2784    7    | 756   2784    7                              | 8.0    | 
760   all      1312    7    | 757   1312    7                              | 8.0    | 
761   all      960     7    | 758   960     7                              | 8.0    | 
762   all      3104    7    | 759   3104    7                              | 8.0    | 
763   all      1072    7    | 760   1072    7                              | 8.0    | 
764   all      1856    7    | 761   1856    7                              | 8.0    | 
765   all      656     7    | 762   656     7      objects/762_DRSpecialLoa| 8.0    | 
766   all      1872    7    | 763   1872    7                              | 8.0    | 
767   all      1056    9    | 764   1056    9      objects/764_DR_CloudPerc| 8.0    | 
768   all      928     8    | 765   928     8      objects/765_DR_EarthCall| 8.0    | 
769   all      1472    7    | 766   1472    7                              | 8.0    | 
770   all      1552    7    | 767   1552    7      objects/767_SPItem      | 8.0    | 
771   all      3808    21   | 768   3808    21     objects/768_SPShop      | 18.0   | 
772   all      8576    7    | 769   8576    7                              | 18.0   | 
773   all      1312    7    | 770   1312    7                              | 8.0    | 
774   all      2384    7    | 771   2384    7                              | 8.0    | 
775   all      592     7    | 772   592     7      objects/772_SPitembeam  | 8.0    | 
776   all      1632    7    | 773   1632    7                              | 8.0    | 
777   all      1232    7    | 774   1232    7                              | 8.0    | 
778   all      2976    7    | 775   2976    7      objects/775_WCTrex      | 8.0    | 
779   all      880     7    | 776   880     7      objects/776_WCbouncycrat| 8.0    | 
780   all      304     7    | 777   304     7      objects/777_WCTrexChase | IDENT  | 
781   all      304     7    | 778   304     7      objects/778_WCSabreChase| IDENT  | 
782   all      8528    21   | 779   8528    21     objects/779_WCLevelContr| 18.0   | 
783   all      1584    7    | 780   1584    7      objects/780_WCBeacon    | 8.0    | 
784   all      2224    7    | 781   2224    7      objects/781_WCpressuresw| 28.0   | PRESSURESWITCH.c
785   all      4768    7    | 782   4768    7      objects/782_WCpushblock | 8.0    | 
786   all      1648    7    | 783   1648    7      objects/783_WCTile      | 8.0    | 
787   all      1008    7    | 784   1008    7                              | IDENT  | 
788   all      2288    7    | 785   2288    7                              | 28.0   | USEOBJ.c
789   all      912     7    | 786   912     7      objects/786_WCTempleLift| 8.0    | 
790   all      2144    7    | 787   2144    7      objects/787_WCApertureSy| 8.0    | 
791   all      2992    7    | 788   2992    7                              | 8.0    | 
792   all      1776    7    | 789   1776    7                              | 8.0    | 
793   all      2896    7    | 790   2896    7                              | 8.0    | 
794   all      1696    7    | 791   1696    7                              | 8.0    | 
795   all      1024    7    | 792   1024    7                              | 8.0    | 
796   all      10624   21   | 793   10624   21     objects/793_BWlog       | 18.0   | 
797   all      1168    7    | 794   1168    7                              | 28.0   | BWalphaanim.c
798   all      496     7    | 795   496     7      objects/795_BWLevelContr| 8.0    | 
799   all      768     7    | 796   752     7      objects/796_AMLevelContr| 7.8    | 
