kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
93    all      192     4    | 94    192     4      engine/94_camseq        | IDENT  | 
94    all      1616    4    | 95    1616    4      engine/95_camtalk       | 8.0    | 
95    all      5440    4    | 96    5440    4      engine/96_cam1stperson2 | 8.0    | 
96    all      800     4    | 97    800     4      engine/97_camunknown    | 8.0    | 
97    all      640     4    | 98    640     4      engine/98_camcrawl      | 8.0    | 
98    all      592     4    | 99    592     4      engine/99_camcannon     | IDENT  | 
99    all      1360    4    | 100   1296    4      engine/100_camspellaim  | 7.6    | 
100   all      912     4    | 101   912     4      engine/101_camcloudrunne| 8.0    | 
101   all      1776    4    | 102   1776    4      engine/102_camdrakor    | 8.0    | 
102   all      640     4    | 103   640     4      engine/103_camdrop      | 8.0    | 
103   all      112     1    | 104   112     1                              | IDENT  | 
104   all      1312    1    | 105   1312    1                              | 8.0    | 
105   all      1664    1    | 106   1664    1                              | 8.0    | 
106   all      5104    1    | 107   5072    1                              | 7.9    | 
107   all      1600    1    | 108   1600    1                              | 8.0    | 
108   all      1600    1    | 109   1600    1                              | 8.0    | 
109   all      2352    1    | 110   2352    1                              | 8.0    | 
110   all      1424    1    | 111   1424    1                              | 8.0    | 
111   all      1600    1    | 112   1600    1                              | 8.0    | 
112   all      1536    1    | 113   1536    1                              | 8.0    | 
113   all      1824    1    | 114   1824    1                              | 8.0    | 
114   all      2368    1    | 115   2368    1                              | 8.0    | 
115   all      1376    1    | 116   1376    1                              | 8.0    | 
116   all      1584    1    | 117   1584    1                              | 8.0    | 
117   all      1872    1    | 118   1872    1                              | 8.0    | 
118   all      1392    1    | 119   1392    1                              | 8.0    | 
119   all      1552    1    | 120   1552    1                              | 8.0    | 
120   all      1392    1    | 121   1392    1                              | 8.0    | 
121   all      1568    1    | 122   1568    1                              | 8.0    | 
122   all      960     1    | 123   960     1                              | 8.0    | 
123   all      112     1    | 124   112     1                              | IDENT  | 
124   all      1152    1    | 125   1152    1                              | 8.0    | 
125   all      960     1    | 126   960     1                              | 8.0    | 
126   all      2240    1    | 127   2240    1                              | 8.0    | 
127   all      2192    1    | 128   2192    1                              | 8.0    | 
128   all      1712    1    | 129   1712    1                              | 8.0    | 
129   all      1552    1    | 130   1552    1                              | 8.0    | 
130   all      2016    1    | 131   2016    1                              | 8.0    | 
131   all      2000    1    | 132   2000    1                              | 8.0    | 
132   all      1296    1    | 133   1296    1                              | 8.0    | 
133   all      816     1    | 134   816     1                              | 8.0    | 
134   all      816     1    | 135   816     1                              | 8.0    | 
135   all      1616    1    | 136   1616    1                              | 8.0    | 
136   all      2704    1    | 137   2704    1                              | 8.0    | 
137   all      1552    1    | 138   1552    1                              | 8.0    | 
138   all      2064    1    | 139   2064    1                              | 8.0    | 
139   all      2144    1    | 140   2144    1                              | 8.0    | 
140   all      1696    1    | 141   1696    1                              | 8.0    | 
141   all      1248    1    | 142   1248    1                              | 8.0    | 
142   all      1792    1    | 143   1792    1                              | 8.0    | 
143   all      1136    1    | 144   1136    1                              | 8.0    | 
144   all      2320    1    | 145   2320    1                              | 8.0    | 
