path	US10_size
gametext/Sequences/167_Italian.bin	3496
gametext/Sequences/167_Japanese.bin	13196
gametext/Sequences/167_Spanish.bin	3880
gametext/Sequences/16_English.bin	6804
gametext/Sequences/16_French.bin	7356
gametext/Sequences/16_German.bin	11724
gametext/Sequences/16_Italian.bin	5952
gametext/Sequences/16_Japanese.bin	20316
gametext/Sequences/16_Spanish.bin	7112
gametext/Sequences/170_English.bin	1752
gametext/Sequences/170_French.bin	1940
gametext/Sequences/170_German.bin	1684
gametext/Sequences/170_Italian.bin	1204
gametext/Sequences/170_Japanese.bin	4480
gametext/Sequences/170_Spanish.bin	1544
gametext/Sequences/171_English.bin	3832
gametext/Sequences/171_French.bin	6316
gametext/Sequences/171_German.bin	4556
gametext/Sequences/171_Italian.bin	4584
gametext/Sequences/171_Japanese.bin	20224
gametext/Sequences/171_Spanish.bin	6508
gametext/Sequences/173_English.bin	3032
gametext/Sequences/173_French.bin	4776
gametext/Sequences/173_German.bin	5648
gametext/Sequences/173_Italian.bin	3228
gametext/Sequences/173_Japanese.bin	19972
gametext/Sequences/173_Spanish.bin	4512
gametext/Sequences/174_English.bin	2396
gametext/Sequences/174_French.bin	2440
gametext/Sequences/174_German.bin	2532
gametext/Sequences/174_Italian.bin	2292
gametext/Sequences/174_Japanese.bin	6372
gametext/Sequences/174_Spanish.bin	2464
gametext/Sequences/175_English.bin	2648
gametext/Sequences/175_French.bin	4152
gametext/Sequences/175_German.bin	2900
gametext/Sequences/175_Italian.bin	2512
gametext/Sequences/175_Japanese.bin	13092
gametext/Sequences/175_Spanish.bin	2572
gametext/Sequences/177_English.bin	1860
gametext/Sequences/177_French.bin	2928
gametext/Sequences/177_German.bin	1860
gametext/Sequences/177_Italian.bin	1476
gametext/Sequences/177_Japanese.bin	5344
gametext/Sequences/177_Spanish.bin	2552
gametext/Sequences/178_English.bin	1560
gametext/Sequences/178_French.bin	1740
gametext/Sequences/178_German.bin	2180
gametext/Sequences/178_Italian.bin	1708
gametext/Sequences/178_Japanese.bin	4484
gametext/Sequences/178_Spanish.bin	1924
gametext/Sequences/179_English.bin	2560
gametext/Sequences/179_French.bin	3540
gametext/Sequences/179_German.bin	4292
gametext/Sequences/179_Italian.bin	2084
gametext/Sequences/179_Japanese.bin	6876
gametext/Sequences/179_Spanish.bin	3856
gametext/Sequences/17_English.bin	4300
gametext/Sequences/17_French.bin	4304
gametext/Sequences/17_German.bin	4332
gametext/Sequences/17_Italian.bin	4032
gametext/Sequences/17_Japanese.bin	19996
gametext/Sequences/17_Spanish.bin	5296
gametext/Sequences/184_German.bin	4352
gametext/Sequences/184_Italian.bin	3380
gametext/Sequences/184_Spanish.bin	3388
gametext/Sequences/185_English.bin	6052
gametext/Sequences/185_French.bin	7384
gametext/Sequences/185_German.bin	7608
gametext/Sequences/185_Italian.bin	6476
gametext/Sequences/185_Japanese.bin	25872
gametext/Sequences/185_Spanish.bin	7484
gametext/Sequences/19_English.bin	3060
gametext/Sequences/19_French.bin	3380
gametext/Sequences/19_German.bin	4220
gametext/Sequences/19_Italian.bin	3416
gametext/Sequences/19_Japanese.bin	13188
gametext/Sequences/19_Spanish.bin	3848
gametext/Sequences/20001_English.bin	2344
gametext/Sequences/20001_French.bin	2780
gametext/Sequences/20001_German.bin	2392
gametext/Sequences/20001_Italian.bin	2224
gametext/Sequences/20001_Japanese.bin	12852
gametext/Sequences/20001_Spanish.bin	2352
gametext/Sequences/20002_English.bin	2136
gametext/Sequences/20002_French.bin	2940
gametext/Sequences/20002_German.bin	2176
gametext/Sequences/20002_Italian.bin	1632
gametext/Sequences/20002_Japanese.bin	3872
gametext/Sequences/20002_Spanish.bin	2692
gametext/Sequences/20003_English.bin	1700
gametext/Sequences/20003_French.bin	1704
gametext/Sequences/20003_German.bin	1852
gametext/Sequences/20003_Italian.bin	1788
gametext/Sequences/20003_Japanese.bin	4176
gametext/Sequences/20003_Spanish.bin	1784
gametext/Sequences/20004_English.bin	2420
gametext/Sequences/20004_French.bin	2936
gametext/Sequences/20004_German.bin	2576
gametext/Sequences/20004_Italian.bin	2100
gametext/Sequences/20004_Japanese.bin	6072
gametext/Sequences/20004_Spanish.bin	3024
gametext/Sequences/20005_English.bin	812
gametext/Sequences/20005_French.bin	880
gametext/Sequences/20005_German.bin	972
gametext/Sequences/20005_Italian.bin	896
gametext/Sequences/20005_Japanese.bin	1668
gametext/Sequences/20005_Spanish.bin	1056
gametext/Sequences/20006_English.bin	3636
gametext/Sequences/20006_French.bin	5312
gametext/Sequences/20006_German.bin	4460
gametext/Sequences/20006_Italian.bin	3484
gametext/Sequences/20006_Japanese.bin	19720
gametext/Sequences/20006_Spanish.bin	3472
gametext/Sequences/20007_English.bin	2060
gametext/Sequences/20007_French.bin	2144
gametext/Sequences/20007_German.bin	2236
gametext/Sequences/20007_Italian.bin	2000
gametext/Sequences/20007_Japanese.bin	6460
gametext/Sequences/20007_Spanish.bin	2000
gametext/Sequences/20008_English.bin	2032
gametext/Sequences/20008_French.bin	1904
gametext/Sequences/20008_German.bin	1884
gametext/Sequences/20008_Italian.bin	1824
gametext/Sequences/20008_Japanese.bin	5828
gametext/Sequences/20008_Spanish.bin	2120
gametext/Sequences/20009_English.bin	1808
gametext/Sequences/20009_French.bin	1948
gametext/Sequences/20009_German.bin	3248
gametext/Sequences/20009_Italian.bin	1808
